,words,clues
780,LATEST,"Fresh gossip, with ""the"""
781,ALPHABETICAL,See blurb
782,GAR,Long-snouted fish
783,SIR,Title for 18-Across
784,JUS,Au ___ (menu phrase)
785,ALEC,Novelist Waugh
786,OBIWAN,"""Star Wars"" knight, informally"
787,NOTSOMUCH,Only a little
788,RESOLE,"Fix, as a pump"
789,SUI,___ generis (unique)
790,HENCE,Therefore
791,ALMOST,"*""You just missed!"""
792,AXE,Item held by the king of diamonds
793,ORDER,See blurb
794,EKES,"Barely manages, with ""out"""
795,VALE,"Lowland, poetically"
796,ETTA,Singer James or Jones
797,RIOT,Thigh-slapper
798,YEN,Nikkei index currency
799,AROMA,Chocolatier's lure
800,ABHORS,*Can't stomach
801,SIN,Go astray
802,CCRIDER,"1950s-'60s hit with the lyric ""Ah, you made me love you / Now, now, now, now your man is come"""
803,HEEDED,Paid attention to
804,ITT,"""The Addams Family"" cousin"
805,MEANT,Had in mind
806,PRIOR,"Previous arrest, on a rap sheet"
807,SANDY,Like some light hair
808,JETES,Ballet leaps
809,RERAN,Showed again
810,SSN,Form 1040 ID
811,RUDI,Newswoman Bakhtiar
812,NOWAIT,"""Hold it - hang on!"""
813,ABBA,"""Fernando"" group"
814,VERN,HGTV personality ___ Yip
815,EGAN,"Eddie ___, subject of ""The French Connection"""
816,RIYADH,"World capital whose name means ""gardens"""
817,ERNE,Fish-eating raptor
818,BITS,Stand-up's routines
819,BZZT,[Wrong answer!]
820,IDLER,Couch potato
821,STAT,"""Right away!,"" in the O.R."
822,CABINET,China holder
823,CLASS,Reunion group
824,HAL,"Rogue computer in ""2001"""
825,NASALS,"M and N, in pronunciation"
826,BIJOUX,*Elegantly designed trinkets
827,AGORA,Greek marketplace of old
828,LABEL,Motown or Decca
829,PRISM,Light beam splitter
830,CUTIE,Adorable one
831,AMER,AAA part: Abbr.
832,LUND,"Ilsa ___, ""Casablanca"" character"
833,ECCE,"""Behold!,"" to Caesar"
834,CHER,"""Believe"" Grammy winner, 1999"
835,WOO,Try to win over
836,NSA,Intel org.
837,OHO,Cry of discovery
838,WEB,Entanglement
839,ABASES,Brings down
840,ROB,Hold up
841,ALE,Heady stuff
842,MEDUSA,Mortal sister of the immortal Stheno and Euryale
843,DEVO,Jumpsuit-wearing music group
844,MARRIEDMAN,He's taken
845,EDEN,"Place whose population was 1, then 2, then 0"
846,PINOT,Champagne grape
847,MUD,Attack ad accusations
848,CARE,Management
849,UNICYCLE,Take the wheel?
850,SAILED,Left port
851,MEEK,Unrebellious
852,HERR,Sir in the Ruhr
853,SMEAR,Attack ad tactic
854,MADTEAPARTY,"Where Alice is asked ""Why is a raven like a writing-desk?"""
855,ASTEROIDBELTS,Rock groups that are far out?
856,QUEENOFMEAN,"Sobriquet for the woman who said ""Only the little people pay taxes"""
857,ATLAS,Global support?
858,FEAT,Daredevil's highlight
859,HOST,Whole bunch
860,TOECAP,Tip of a wingtip
861,BLEWINTO,"Visited unexpectedly, as a town"
862,ARCH,"Prefix meaning ""extreme"""
863,EEL,Ocean floor burrower
864,AVERY,Office supply brand
865,RATE,Be critical of?
866,SAUSAGEDOG,"Dachshund, colloquially"
867,ICES,Boardwalk treats
868,CREOLE,Cuisine that includes trout meunière
869,ABU,___ Simbel (Egyptian landmark)
870,SEE,Appreciate
871,INSTIR,Doing time
872,YEN,100% aluminum coin
873,WAMPUM,Indian bread?
874,ELAINE,Jerry's ex on TV
875,BERNIE,First name in 2016 presidential politics
876,AMITY,"___ Island (""Jaws"" locale)"
877,BEE,Orthographic competition
878,ADD,Recipe instruction
879,SUMMERTIMEBLUES,"1958 hit song that begins ""I'm a-gonna raise a fuss, I'm a-gonna raise a holler"""
880,ESAU,Biblical polygamist
881,SANDS,Takes the edge off?
882,REDALERT,State of emergency
883,OVEREATS,Has everything?
884,BONEDRY,Waterless
885,DECIMAL,There's a point to it
886,ROCK,"Shift in one's seat, perhaps"
887,CHARO,"Her albums include ""Cuchi-Cuchi"" and ""Olé, Olé"""
888,LEDOFF,Was first to go
889,ASPEN,Tree known scientifically as Populus tremuloides
890,REDEAL,Casino correction
891,MENSA,Sharp club
892,ABATE,Lose intensity
893,AUTORACE,Talladega event
894,SELECTEE,Chosen one
895,TEACHES,Trains
896,QATARIS,Residents of the world's richest country per capita
897,HIVE,Center of activity
898,ONEDAY,Sometime in the future
899,STROBE,Flickering light
900,TOYGUN,Cap holder
901,PESCI,"De Niro's ""Raging Bull"" co-star"
902,WAGER,"Bucks on a horse, e.g."
903,EARN,Pull down
904,SOT,Soak
905,ALI,"""The Greatest"""
906,TBS,Cable channel owned by Time Warner
907,TIP,Lead-in to toe or top
908,HRS,Countdown abbr.
909,PEU,"""Un ___"" (answer to ""Parlez-vous français?"")"
910,ALAMODE,Fashionable
911,AUTEURS,Distinctive filmmakers
912,CARIOLE,One-horse carriage
913,KIRSTIE,Alley seen on TV
914,THINKER,One may be deep
915,ENACTED,Passed
916,THRICE,Again ... and again
917,YAO,"___ Ming, 2016 Hall of Fame inductee"
918,CLOSE,Thereabouts
919,NUMB,Unfeeling
920,PART,Line at a barbershop
921,RAM,Pickup line?
922,ACTI,Broadway opening
923,IFEVER,Perhaps not at all
924,URN,Keats ode subject
925,ROOSTER,2017 symbol in the Chinese zodiac
926,OLE,Accented approval
927,EVICTS,Boots
928,IONE,Actress Skye
929,TIN,Can
930,LASH,Eye protector
931,MENU,Writing on many a chalkboard
932,EJECT,Tape recorder button
933,CAB,"Certain varietal, for short"
934,AERATE,Provide with oxygen
935,RAINOUT,Game day disappointment
936,ISRAELI,"Singer of the anthem ""Hatikvah"" (""The Hope"")"
937,EXECUTE,Carry out
938,SHINDIG,Big to-do
939,PINETAR,Sticky stuff
940,TEASING,Some playfulness
941,OST,German direction
942,SHY,Short
943,SNL,"Show filmed at Rockefeller Center, for short"
944,TOY,Play (with)
945,TACT,"""It is ___ that is golden, not silence"": Samuel Butler"
946,BLAH,"When tripled, et cetera"
947,SARI,Article of apparel that often leaves one arm bare
948,TOOKHEART,Was encouraged
949,IDLER,Layabout
950,PEERINTO,Look at searchingly
951,HAKEEM,Olajuwon of the N.B.A.
952,RUIN,Wreckage
953,STRAY,Good candidate for adoption
954,PUTTOAVOTE,Settle by calling the question
955,ERIE,Lake connected with lake-effect snow
956,USED,Exhausted
957,THINMINTS,Girl Scout cookie offering
958,NARROWESCAPE,Barely successful avoidance of calamity
959,LEANCUISINE,Brand for weight-watchers
960,CRUEL,Barbarous
961,LARVA,Caterpillar stage
962,OMNISCIENT,"Godlike, in a way"
963,BIEN,French well
964,RELIC,Museum piece
965,TRENT,"River through Nottingham, England"
966,COSM,Ending with micro-
967,FREETRIAL,"Incentive for buying a new product, maybe"
968,TOURISTS,Buyers of guidebooks
969,SLIMCHANCE,What a long shot has
970,EATERY,Lunch spot
971,SKINNYJEANS,Form-fitting casual wear
972,BOUTS,Matches
973,ASHEN,Wan
974,REPO,"Auctioned car, perhaps"
975,AXIS,x or y
976,UTAH,Pac-12 team
977,EDIT,Make some changes to
978,LINO,"Old typesetting machine, informally"
979,IGGY,Pop of rock
980,RAISE,Pay hike
981,ABODE,"""Humble"" living quarters"
982,COB,Inner part of an ear of corn
983,ORCAS,Killer whales
984,CORED,Like some processed apples
985,ACE,King topper
986,SEANCONNERY,"*1962-67, 1971"
987,LEI,Hawaiian neckwear
988,HANG,"Put up, as a picture"
989,MEDIA,"The Washington Post, CNN, etc."
990,PLAN,Think ahead
991,TSA,Airport screening grp.
992,DISHING,Gossiping
993,TIMOTHYDALTON,*1987-89
994,ATE,Had breakfast or lunch
995,EASE,Let (up)
996,SIT,Command before giving a dog a bone
997,ROGER,"With 39-Across, *1973-85"
998,LUG,Carry with effort
999,MOORE,See 35-Across
1000,RNA,Single-stranded molecule
1001,CADS,Ill-bred fellows
1002,WII,PlayStation competitor
1003,PIERCEBROSNAN,*1995-2002
1004,LIBERAL,Leaning left
1005,INK,It's kept in a pen
1006,IRAS,S.&L. offerings
1007,MEDAL,"Finish in the top three, in the Olympics"
1008,INTO,"""What's gotten ___ you?"""
1009,FIN,Prominent shark feature
1010,DANIELCRAIG,*2006-
1011,END,___ of the line
1012,DICER,Kitchen cutting tool
1013,CUTER,Likelier to win a baby contest
1014,RAJ,British rule in colonial India
1015,SCHMO,Joe ___ (ordinary sort)
1016,SNORE,Saw logs
1017,ROSH,___ Hashana (Jewish holy day)
1018,AREA,"Roughly 3.8 million square miles, for the United States"
1019,ICAN,Words of self-empowerment
1020,SANGTO,Serenaded
1021,ESC,Keyboard key
1022,ACNE,Clearasil target
1023,BOND,"What the answers to the starred clues share, in two ways"
1024,OREIDA,Frozen potato brand
1025,DERAILS,Jumps the track
1026,EDY,Big name in ice cream
1027,CALLIN,Format of some talk radio shows
1028,OCEAN,Most of our planet's surface
1029,BEING,Human ___
1030,OMAHA,Largest city in Nebraska
1031,PHOTO,Instagram upload
1032,STERNER,Less forgiving
1033,STIMSON,"Henry L. ___, secretary of war during W.W. II"
1034,TAR,La Brea goo
1035,ITO,"""What was ___ think?"""
1036,MEG,"Actress Ryan of ""Sleepless in Seattle"""
1037,YSL,Designer letters on a handbag
1038,DEUCE,"Two, in cards"
1039,ERIES,Iroquoians of New York
1040,GAB,Talk incessantly
1041,OWN,Have the title to
1042,RIA,River inlet
1043,EIN,"German ""one"""
1044,ARAMAIC,Jesus' language
1045,DRILL,Tool for a carpenter or dentist
1046,PBANDJ,"Popular sandwich, informally"
1047,CLENCH,"Tighten, as a fist"
1048,SKIRUN,Vail trail
1049,LIFER,Long-term inmate
1050,IRINA,"One of Chekhov's ""Three Sisters"""
1051,DIEM,Per ___ (daily)
1052,AERO,Commercial prefix with postale
1053,NATO,Alliance that keeps a wary eye on Russia
1054,TIER,Wedding cake layer
1055,OGRE,"Shrek, for one"
1056,DDS,Cavity filler's deg.
1057,CCS,Dosage amts.
1058,XFL,Defunct gridiron org.
1059,GRATE,Fireplace holder
1060,STAID,Rather conservative
1061,ERA,Chapter in history
1062,RELAY,Race with batons
1063,COSMO,"Pink cocktail, informally"
1064,NOSERVICE,What zero bars on a cellphone indicates
1065,RAYON,Synthetic fabric
1066,ODEA,Old-fashioned theaters
1067,OBI,"""Memoirs of a Geisha"" accessory"
1068,PESO,Bit of dinero
1069,NORSELITERATURE,"Viking tales, e.g."
1070,TUT,"""Shame on you!"""
1071,GEM,Ring decoration
1072,WAX,Opposite of wane
1073,EMBER,Glowing coal
1074,SAGE,Like advice worth listening to
1075,MINI,Leg-revealing item of apparel
1076,NEUROSCIENTISTS,Experts on the brain
1077,DARN,"""Shoot!"""
1078,CURD,Sour milk product
1079,IMHOT,"""Someone turn on a fan!"""
1080,ORS,"Surgery locales, for short"
1081,JAB,Quick hit
1082,VEE,Notch shape
1083,NATIONALPASTIME,"Baseball, in America"
1084,ONUS,Cross to bear
1085,YIP,Puppy's plaint
1086,ICON,Desktop image
1087,JAPES,Wisecracks
1088,PINOCCHIO,Disney character hinted at by the circled letters
1089,EXERT,"Apply, as pressure"
1090,INTRO,Opening remarks
1091,ARK,Flood refuge
1092,TENTS,Refugee camp sights
1093,AGASP,Visibly stunned
1094,TAI,___ chi
1095,XENON,Fifth member in a noble line
1096,FRODO,Tolkien hero
1097,LASER,Futuristic weapon
1098,GRR,Canine warning
1099,REVOLT,Uprising
1100,ALIBI,"""I was at the movies - nowhere near the crime,"" e.g."
1101,TACIT,Understood
1102,EYE,Look over
1103,SCREAM,1996 horror movie with four sequels
1104,TOAST,Done for
1105,ASYOUWISH,"""Sure, go ahead"""
1106,IMO,Texter's qualifier
1107,DON,Mafia V.I.P.
1108,EASTERN,"Old airline with the slogan ""We have to earn our wings every day"""
1109,PREEN,Fuss over oneself
1110,EURO,Modern prefix with skeptic
1111,EGGED,Urged (on)
1112,RANTO,"Totaled, as a bill"
1113,EXIST,Have life
1114,ENDON,Conclude with
1115,MEARA,Stiller's longtime wife and comedy partner
1116,BURSTOPEN,Explode
1117,SCUBA,Recreational device that holds 35-Down
1118,AIR,See 34-Down
1119,MIMETIC,Imitative
1120,SCANS,Reads carefully
1121,TIES,Gets even with?
1122,JOUSTS,Renaissance Faire events
1123,VAPORS,Steam and such
1124,INERT,Sluggish
1125,LYING,What causes the circled letters to grow?
1126,PINTA,Companion of the Niña and Santa Maria
1127,ICHAT,Apple's former instant-messaging program
1128,MOIRA,"""On the Beach"" heroine"
1129,ENOKI,Gourmet mushroom
1130,JET,Boeing product
1131,AXE,"Hacker, but not on a computer"
1132,PIA,___ mater (brain cover)
1133,COP,Admit (to)
1134,MANUP,"""Don't be such a baby!"""
1135,RID,Divest (of)
1136,LOPES,Easy gaits
1137,ALITO,O'Connor's Supreme Court successor
1138,AMY,Comedian Schumer
1139,INEPT,All thumbs
1140,ROKER,"Longtime name on NBC's ""Today"""
1141,CANAVERAL,"Home to the Kennedy Space Center, familiarly"
1142,GUESSTIMATES,Ballpark figures
1143,EDS,Actors Helms and Harris
1144,CIS,"Opposite of trans-, with respect to gender"
1145,MAT,A welcome sight?
1146,ADO,Ruckus
1147,HOMEINVADER,Unwanted guest
1148,SHAPE,Some run to get in it
1149,LTD,"Inc., abroad"
1150,CENT,Euro denomination
1151,WALLSTREETCRASH,Black Tuesday event
1152,ALEE,Sheltered from the wind
1153,HOC,Latin word after post or ad
1154,AEREO,Correo ___ (Spanish airmail)
1155,MARXBROTHER,"Any one of the stars of ""Duck Soup"""
1156,PLO,Grp. once led by Arafat
1157,IAM,Existential statement
1158,OTS,"Bonus sports periods, for short"
1159,WAC,W.W. II female
1160,SPLITTHEBILL,"Go Dutch ... or a hint to 20-, 28-, 37- and 44-Across"
1161,MAPLELEAF,Toronto athlete
1162,ALLIE,Kate's sitcom housemate
1163,ANTED,"Chipped in, in a way"
1164,SRO,B'way posting
1165,TIMER,Stopwatch
1166,GNAWS,Eats like a rodent
1167,TAR,Old sailor
1168,SPANK,Beat handily
1169,MARGE,Homer's love
1170,ALOUD,One way to think
1171,NIKES,Adidas alternatives
1172,UTES,Four Corners-area tribe
1173,PORSCHES,Cayman and Cayenne
1174,RACISM,"""To Kill a Mockingbird"" theme"
1175,IMAM,Muslim leader
1176,DYNAMITE,"""Awesome!"""
1177,LIVETV,Broadcast shown as it happens
1178,ONES,Tip jar fillers
1179,PER,___ capita
1180,EPA,Org. concerned with ecology
1181,STL,Cardinal's letters
1182,ATANDT,T-Mobile rival
1183,TIO,Padre's hermano
1184,ADEAR,"""Be ___ ..."" (request starter)"
1185,DENSE,Not too quick on the uptake
1186,ORTHO,Prefix with -pedic
1187,ELECT,Campaign poster word
1188,ACRE,Realtor's unit
1189,SWAMP,Overwhelm
1190,HALAL,Like much food cart meat
1191,ALERO,Old Olds
1192,PLEX,Movie trailer?
1193,THRALL,One in bondage
1194,ROOMIEST,Least cramped
1195,CARSEATS,"Buckets, perhaps"
1196,BIPEDS,"Ostriches and kangaroos, e.g."
1197,HOTFOR,Lusting after
1198,ETH,Biblical suffix
1199,WILMA,One of the Flintstones
1200,ALIEN,1979 sci-fi thriller
1201,CLERK,Court employee
1202,SLEW,"Killed, as a dragon"
1203,TARA,Gold-medal skater Lipinski
1204,BLIP,Dot on a radar screen
1205,MAG,"Outside or InStyle, in brief"
1206,ANN,"___ Arbor, Mich."
1207,PTA,"""Harper Valley ___"" (1968 #1 hit)"
1208,HTML,Web designer's code
1209,CHEF,One wearing an apron and a puffy white hat
1210,PSALM,"One includes ""My cup runneth over"" in the Bible"
1211,OWES,Has debts
1212,IOTA,Slight amount
1213,EERIE,Like a wolf's howl in the dead of night
1214,WORDSALAD,Gobbledygook
1215,GAPED,Looked open-mouthed
1216,TAM,Scot's cap
1217,WOE,"""___ is me!"""
1218,IRATE,Up in arms
1219,OMAHA,Nebraska's capital before Lincoln
1220,ENOS,Grandson of Adam
1221,GMT,Clock-setting std.
1222,NOTHINGBURGER,Big fat zero
1223,THIRD,Like Jefferson on a list of presidents
1224,SEINE,River through Paris
1225,SWIM,Do laps in a pool
1226,PANSY,Flower that's also a girl's name
1227,DOSE,"Spoonful of medicine, say"
1228,POSIT,"Put forward, as an idea"
1229,OPENS,Unlocks
1230,COUCHPOTATOES,Habitual tube watchers
1231,ALP,Swiss peak
1232,ROLE,Part in a movie
1233,BANGS,Hair that hangs over the forehead
1234,PRIED,Used a lever on
1235,GEE,"""Golly!"""
1236,IOU,Promise-to-pay note
1237,SEOUL,Capital of South Korea
1238,HUMBLEPIE,"What a shamed person has to ""eat"""
1239,EASEL,Stand on three legs?
1240,ARAB,Mideast native
1241,MEND,On the ___ (recuperating)
1242,TRESS,Lock of hair
1243,TINS,Metal canisters
1244,URGE,Hankering
1245,HOWTO,Book consulted by a do-it-yourselfer
1246,TWOAM,Time in Manhattan when it's midnight in Montana
1247,MERMAN,"Ethel who sang ""There's No Business Like Show Business"""
1248,LSD,It was often dropped in the '60s
1249,CIAO,"""See ya!"""
1250,HOLE,Woodchuck's escape route
1251,ETA,"Airline app datum, for short"
1252,FADING,On the decline
1253,PEGASUS,Flying horse of Greek myth
1254,SEAT,"""Save me a ___!"""
1255,ARPEGGIO,Notes of a chord played in rapid succession
1256,LIE,Fib
1257,MED,Club ___
1258,SWATH,Path of mowed grass
1259,ROB,Steal from
1260,HOTMIC,It might capture an embarrassing comment
1261,ENDNOTE,Bit of appended text
1262,MENS,Store department selling suits and ties
1263,TREE,Obstacle for a drone
1264,HIP,Modern and cool
1265,IRA,"Plan that might include mutual funds, in brief"
1266,REDSEA,Body of water that separates Africa and Asia
1267,SPCA,Pet safety org.
1268,WOOL,Sheep's coat
1269,ISUPPOSE,"""It's certainly possible ..."""
1270,SPA,Hot spring
1271,YET,"""The best is ___ to come"""
1272,THRILLS,What amusement parks provide
1273,NOBEL,2016 prize for Bob Dylan
1274,POE,"Who wrote of ""sorrow for the lost Lenore"""
1275,OLDHAT,Out-of-date
1276,SNIPER,Marksman with an M40
1277,GOING,"Word cried twice before ""gone"""
1278,SUEDE,Napped leather
1279,RUES,Feels remorse over
1280,GMAN,"F.B.I. worker, informally"
1281,EBBS,Recedes
1282,SET,Ready
1283,EAR,Place for a bud or a stud
1284,URI,Celebrity psychic Geller
1285,EMU,Down Under bird
1286,SPIT,Rod at a pig roast
1287,CABS,Vehicles with medallions
1288,POMP,Partner of circumstance
1289,SHINER,Result of a sock in the eye
1290,OPAH,"Colorful, warm-blooded fish"
1291,SPUR,Cowboy boot accessory
1292,MAÃ‘ANA,"Tomorrow, in 43-Down"
1293,PEÃ‘ANIETO,Mexican president Enrique
1294,IVAN,Pavlov with a Nobel
1295,FLEXORS,Biceps and hamstrings
1296,NOW,"""Buy It ___"" (eBay option)"
1297,DETECTOR,Word after motion or lie
1298,SPAREME,"""Puh-lease!"""
1299,GRATA,Persona ___ (welcome guest)
1300,TNG,"1987-94 ""Star Trek"" series, briefly"
1301,ORBS,"Eyes, to bards"
1302,ESS,Pothook shape
1303,BASIE,Count in music
1304,BASSOS,Lowest-voiced choir members
1305,PIÃ‘ACOLADA,Drink often served with a miniature umbrella
1306,NONONO,Vehement rejection
1307,ULTRA,Prefix with violet or violent
1308,SEP,Mo. when the N.F.L. season starts
1309,OKED,Gave the go-ahead
1310,SOD,Outfield-patching need
1311,PEPSI,Cola wars competitor
1312,SIESTAS,Naps south of the border
1313,GASTRAPS,Devices that prevent fumes from escaping
1314,END,Many an eligible receiver
1315,ICEWINE,Drink made from frozen grapes
1316,INAT,___ the finish (having potential to win)
1317,JALAPEÃ‘OS,Peppers milder than habaneros
1318,ELNIÃ‘O,Warm Pacific current
1319,OWES,Is in the hole
1320,LOOT,Ill-gotten goods
1321,PINSON,"Attaches, as a carnation"
1322,BASK,Soak up the sun
1323,ARTS,"Theater, dance, etc."
1324,DAHL,"Roald who wrote ""Fantastic Mr. Fox"""
1325,SHAVERS,Bic or Gillette offerings
1326,PIÃ‘ATAS,They're broken at parties
1327,INANET,How butterflies might be caught
1328,TEN,Highest point value for a Scrabble tile
1329,COPERNICUS,He placed the sun at the center of the universe
1330,APEX,Tiptop
1331,BAÃ‘OS,"Bathrooms, in 43-Down"
1332,SHARP,Tuned too high
1333,PSI,Air pump fig.
1334,OPENERS,Beer drinkers' utensils
1335,MUTOMBO,Basketball Hall-of-Famer Dikembe ___
1336,PROWESS,Exceptional ability
1337,SMIDGE,Tiny bit
1338,RAFT,Log craft
1339,NSA,"""Crypto City"" at Ft. Meade"
1340,LOTSA,"""___ luck!"""
1341,CABIN,Log construction
1342,ROSA,Parks of the civil rights movement
1343,GEOLOGISTS,Rock scientists
1344,AÃ‘O,"Year, in 43-Down"
1345,BAR,"""Cheers"" setting"
1346,ADAPT,Change with the times
1347,PODS,Okra units
1348,LTDAN,Forrest Gump's C.O.
1349,NOSEJOB,Profile-altering plastic surgery
1350,OKINAWA,Pacific battle site of 1945
1351,NEEDLES,Parts of hypodermics
1352,SPANISH,"Language that utilizes the letter ""Ã±"""
1353,ESPAÃ‘OL,"43-Down, in 43-Down"
1354,PISTON,One of the eight in a V-8
1355,ERINNA,"Greek poet who wrote ""The Distaff"""
1356,TIP,"Message left on a hotline, perhaps"
1357,ACELA,Northeast Corridor express train
1358,SEÃ‘OR,"Mister, in 43-Down"
1359,SEEP,Ooze
1360,WOOT,"""Wow!,"" in Internet-speak"
1361,ASK,"Set, as a price"
1362,LID,Tupperware topper
1363,ASH,Result of a firing
1364,BBC,English channel
1365,SCRAWL,It's poorly written
1366,THEATEAM,Hannibal's men
1367,ARABIA,1962 Best Picture setting
1368,MEACULPA,Fault line?
1369,NATANT,Swimming
1370,FERN,Shade of green
1371,GIRD,Bind with a belt
1372,MATTE,Certain finish
1373,ESTEE,Chanel No. 5 competitor
1374,TIEUP,Gridlock consequence
1375,TEX,Many a Dallas cowboy
1376,EHS,Comments that lead people to repeat themselves
1377,KOALAS,Ones carrying babies on their backs
1378,CORE,Middle Earth?
1379,DILLYDALLIES,Dawdles
1380,SOUNDINGBOARD,Source of feedback
1381,GEORGESMILEY,"Fictional spy who first appeared in ""Call for the Dead"""
1382,ITSA,"""___ joke"""
1383,STOVES,Ranges
1384,GEE,Go the right way?
1385,GAP,Mystery in the fossil record
1386,STINE,Writer with the given names Robert Lawrence
1387,STEAM,Tick off
1388,ASONE,Jointly
1389,CRAB,Whine lover?
1390,ONTO,Undeceived by
1391,TIRANA,Capital for King Zog
1392,OWLSNEST,Hooter's location
1393,ODESSA,"Setting for Sergei Eisenstein's ""Battleship Potemkin"""
1394,EAUDEVIE,Clear brandy
1395,NESTEA,Brisk competitor
1396,YES,Fist pumper's cry
1397,AND,Besides
1398,ATMFEE,PIN money?
1399,SHEESH,"""Jeez Louise!"""
1400,HEARTS,Trick-taking card game
1401,BTU,About 252 cals.
1402,BELG,Like M. Poirot
1403,CAPITALISTIC,"Competitive, in a way"
1404,SAN,Title of politeness
1405,CRAMP,Swimmer's woe
1406,RATA,Pro ___
1407,ABATTOIR,Slaughterhouse
1408,WINTERED,Spent a season in the sun?
1409,LATEXES,Rubbery compounds
1410,ACNE,Certain eruption
1411,MARILYNMONROE,Famed Pop Art subject
1412,DEADGIVEAWAY,It's pretty obvious
1413,EKING,"Augmenting, old-style"
1414,USABLE,Functional
1415,OLDEST,Guinness adjective
1416,CLAY,Modeling medium
1417,DURA,"Long-lasting, in commercial names"
1418,LOESS,Good earth
1419,SETASIDE,Table
1420,OOSPORES,Some fertilized eggs
1421,GIGATON,Unit of explosive capacity
1422,GENEVA,Palace of Nations locale
1423,EATSIN,Has a home-cooked meal
1424,EMOTED,Made a big scene?
1425,SENSE,Import
1426,TONE,Step on a scale
1427,NAST,Illustrator Thomas
1428,BLUE,Down
1429,AAA,"Strong, as a bond"
1430,SDS,New Left org.
1431,HEBRIDES,"Skye, the Small Isles, etc."
1432,MESSES,Fiddles (with)
1433,AQUILINE,Eaglelike
1434,AXILLA,"Armpit, to a doctor"
1435,JUICEBOX,Brown-bag lunch item
1436,ZANILY,With wacky irreverence
1437,JACKASSTHEMOVIE,"2002 ""documentary"" with ""Don't try this at home"" contents"
1438,ILKS,Varieties
1439,AWS,Sounds of pity
1440,JEER,Fan sound
1441,PREPPY,"Like an ascot, perhaps"
1442,MAR,"Put a dent in, say"
1443,CHEROKEE,Jeep model
1444,PAPIER,Le Monde material
1445,BADIDEA,"""No, you don't want to do that"""
1446,ROXANNE,First hit for the Police
1447,SHINED,Performed beautifully
1448,MAKINGDO,Managing
1449,EGO,Psychological mediator
1450,BITEME,"""Drop dead, loser"""
1451,CUFF,Strike sharply
1452,TAN,Change one's tone?
1453,SAYA,"""Don't ___ thing"""
1454,ARAISININTHESUN,Hit 1959 Broadway play starring Sidney Poitier
1455,PILEUP,Jam producer
1456,CAREWORN,Bowed with adversity
1457,ECCLES,Book after Proverbs: Abbr.
1458,ATALANTA,"Only woman aboard the Argo, it's said"
1459,SHODDY,Third-rate
1460,REDDRESS,"""Jezebel"" costume"
1461,HAJJI,Faithful pilgrim
1462,EQUAL,Congruent
1463,BUICK,"Riviera, e.g."
1464,RICKSPRINGFIELD,"Singer with a recurring role on ""General Hospital"""
1465,ILEA,"Guts, in part"
1466,DIBS,"""Mine!"""
1467,ENOS,Slaughter of the Cardinals
1468,SEXTAPE,Record of affairs?
1469,MAZES,Achievements in large-scale topiary
1470,EXAM,Bar ___
1471,SINOJAPANESEWAR,Historic conflict in and around the Yellow Sea
1472,SLIVERING,Reducing to splinters
1473,ELLIE,"___ Kemper, star of TV's ""Unbreakable Kimmy Schmidt"""
1474,SAYER,"Leo with the 1977 #1 hit ""When I Need You"""
1475,HWY,"Any I, e.g.: Abbr."
1476,RODEO,What may involve the calf muscles?
1477,EKED,"Managed, with ""out"""
1478,PEA,Shade of green
1479,MAXIM,Saw
1480,CBS,Its logo is based on a Pennsylvania Dutch hex sign
1481,HAH,Derisive reply
1482,EDIEFALCO,"""The Sopranos"" actress"
1483,POKE,"Slow sort, informally"
1484,END,Patootie
1485,REO,"___ Motors, old Lansing manufacturer"
1486,RAT,Tattle
1487,MINICAR,Subcompact
1488,BAN,International treaty subject
1489,CAPES,Coastline features
1490,URICH,"Robert of ""Spenser: For Hire"""
1491,TIPSY,A little tight
1492,ASONE,Simultaneously
1493,YURTS,Round abodes
1494,ANNAS,Dancer Pavlova and others
1495,SUED,"Went after, in a way"
1496,NATE,___ the Great of children's literature
1497,TRAD,Like many folk songs: Abbr.
1498,HELD,Stood fast
1499,SEES,"Matches, as a bet"
1500,ETTE,Suffix with bachelor
1501,LASS,Miss
1502,TILT,Pinball game ender
1503,REARS,Keisters
1504,ARIA,"Mozart's ""Se vuol ballare,"" for one"
1505,AREA,Neck of the woods
1506,ASSAI,"Very, in music"
1507,RATS,"""Darn it all!"""
1508,REALIST,Practical sort ... or anagram #1 of the only seven letters used to make this puzzle
1509,STILES,Ballpark gates
1510,ETES,Times when the French go en vacances
1511,ASEA,"Chasing Moby Dick, say"
1512,ALTAIR,Brightest 1-Down in Aquila
1513,ALISTER,Big celeb ... or anagram #2
1514,SARIS,Bollywood wraps
1515,RITES,Formal ceremonies
1516,LAT,One of a pair of map coordinates: Abbr.
1517,STIR,Awaken
1518,SELES,Tennis great Monica
1519,RITA,Meter maid of song
1520,TET,Asian new year
1521,STEER,Animals rounded up in a roundup
1522,EATER,"Foodie, e.g."
1523,RETAILS,Sells (for) ... or anagram #3
1524,ATREST,Standing still
1525,ELLS,"The black square chunk in front of 55-, 60- and 63-Across, and others"
1526,ESAI,Actor Morales
1527,ISRAEL,Zionist's homeland
1528,SALTIER,More coarse ... or anagram #4
1529,RIIS,Social reformer Jacob
1530,ETATS,Californie and others
1531,IRAE,"""Dies ___"""
1532,ELLE,Vogue rival
1533,RELEE,U. S. Grant rival
